ID,Name,Description,IsIngredient,HasDurability,MaxStack,HungerRestore,EEffectType1,EffectValue1,Duration1,EEffectType2,EffectValue2,Duration2,EEffectType3,EffectValue3,Duration3,IconPath(Addressable Key),PrefabPath(Addressable),InteractionTag
200033,정령 숲 리조또,피처럼 붉은 곡물에 정열과 각오를 담아낸 리조또. 한 숟갈마다 전장의 함성이 떠오를 정도로 강렬하다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SpiritGroveRisotto_Icon,Food_Prefab,Player
200034,평원의 단맛 카레,풀내음이 감도는 들판에서 자란 채소의 은은한 단맛. 자극적이지 않아 몸과 마음을 모두 편안하게 해준다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SweetPlainsCurry_Icon,Food_Prefab,Player
200035,정령의 인내 구이,단단한 뿌리채소를 오래 구워 완성한 고요한 맛. 느리고 무거운 풍미 속에 정령의 인내심이 스며든다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SpiritEnduranceRoast_Icon,Food_Prefab,Player
200036,곡물 대지 스테이크,곡물 반죽을 두껍게 눌러 구운 땅의 축복. 묵직하고 고소한 풍미가 온몸에 힘을 불어넣는다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GrainEarthSteak_Icon,Food_Prefab,Player
200037,야생의 정령 피자,거칠게 자란 식재료 위로 정령의 기운이 스며든 피자. 한 조각에 자연의 활력과 날것의 자유로움이 깃들어 있다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WildSpiritPizza_Icon,Food_Prefab,Player
200038,드워프의 심장 파이,"깊은 지하에서 채굴 후 드워프 전사들이 먹던 전통의 파이. 외형은 투박하지만 안에는 단단한 곡물과 고기, 견과류가 촘촘히 채워져 있다. 한 입 베어 물면 진득하고 강한 풍미가 퍼지며, 몸 속 깊은 곳에서부터 힘이 솟는다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_DwarfHeartPie_Icon,Food_Prefab,Player
200039,예언의 제물 리조또,고대 사제들이 신탁을 받기 전 바쳤던 신성한 리조또. 금빛 곡물과 미묘한 향이 영혼을 정돈시킨다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ProphecySacrificeRisotto_Icon,Food_Prefab,Player
200040,노을 열매 스테이크,노을빛 열매의 단맛이 육즙과 만나 새로운 풍미를 자아낸다. 저녁 무렵에 먹으면 하루를 잘 마무리할 수 있다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_TwilightFruitSteak_Icon,Food_Prefab,Player
200041,달그림자 빵,달빛이 비추는 순간에만 굽는 비밀의 빵. 고요하고 부드러운 식감이 여정자의 휴식을 돕는다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MoonshadowBread_Icon,Food_Prefab,Player
200042,진실의 꽃 수프,"진실을 말하게 만드는 금단의 꽃을 우려낸 수프. 부드럽고 향긋하지만, 그 끝은 두려울 만큼 투명하다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_TruthFlowerSoup_Icon,Food_Prefab,Player
200043,서늘한 대지 볶음,차가운 뿌리와 향신료가 어우러진 대지의 요리. 먹는 순간 몸속까지 정화되는 느낌이 든다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_CoolEarthStirFry_Icon,Food_Prefab,Player
200044,늑대의 밤 카레,달빛 아래 늑대인간이 홀로 만든 짙은 향의 카레. 외롭고 깊은 맛 속에 감춰진 은밀한 포만감이 있다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WolfsNightCurry_Icon,Food_Prefab,Player
200045,그림자 햇살 볶음,그늘과 빛이 공존하는 재료로 만든 볶음. 한 입마다 단맛과 쌉싸름함이 번갈아 입 안을 덮는다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ShadowSunlightStirFry_Icon,Food_Prefab,Player
200046,신의 향 찜,고행자들이 신에게 바치던 향신료 가득한 찜. 입 안에 퍼지는 정화의 향이 심신을 맑게 한다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_HolyAromaSteamedDish_Icon,Food_Prefab,Player
200047,어둠 정령 파이,빛 없는 땅에서 태어난 정령의 힘을 담은 파이. 깊고 묵직한 맛이 먹는 이를 잠시 어둠 속으로 이끈다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_DarkSpiritPie_Icon,Food_Prefab,Player
200048,노을빛 잎새 리조또,해 질 녘에 수확한 잎새와 곡물로 만든 리조또. 자연의 마지막 숨결이 스며든 듯한 부드러움이 느껴진다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SunsetLeafRisotto_Icon,Food_Prefab,Player
200049,망자의 안식 볶음,"묘지 근처에서 자라는 진혼초와 향신료로 만든 따뜻한 볶음. 부드러운 뿌리채소와 함께 볶아내어, 향만으로도 영혼이 위로를 받는다고 전해진다. 죽은 이를 기리거나 장례식에서 자주 올려지는 요리.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_RestOfTheDeadStirFry_Icon,Food_Prefab,Player
200050,방패 곡물 찜,곡물을 빽빽하게 쌓아 찐 단단한 방패형 요리. 몸을 보호하는 든든함과 속을 채우는 고소함이 절묘하게 조화된다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GrainShieldSteamedDish_Icon,Food_Prefab,Player
200051,축제의 피 스테이크,달콤하고 짭짤한 육즙이 축제처럼 터지는 스테이크. 들고 흔들며 먹는 것이 전통이다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_FestivalBloodSteak_Icon,Food_Prefab,Player
200052,마법 꽃 스테이크,마법을 품은 호박 속에 정령의 꽃을 가득 채워 구운 스테이크. 겉은 바삭하고 속은 달콤하면서도 은근히 퍼지는 상큼한 향이 입 안을 가득 채운다. 마법사들이 기운을 회복할 때 즐겨 먹는 기묘하고도 기품 있는 음식.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MagicFlowerSteak_Icon,Food_Prefab,Player
200053,엘프의 냉기 파이,"서리로 뒤덮인 숲 속에서 자라는 냉기 꽃잎과 차가운 열매를 넣은 파이. 차가운 풍미와 동시에 풀내음 가득한 신비한 향이 퍼지며, 마음을 차분히 가라앉힌다. 깊은 명상에 들기 전, 엘프들이 즐기는 정적인 간식.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ElfFrostPie_Icon,Food_Prefab,Player
200054,전사의 피 리조또,"전투 직전의 분노와 용기를 상징하는 진홍빛 리조또. 붉은 곡물과 화염 열매, 짭조름한 육즙이 어우러져 혀끝을 강하게 자극하며, 한 숟갈에 뜨거운 함성과 결의를 느끼게 된다. 전사들의 의식용 전투식으로 유명하다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WarriorBloodRisotto_Icon,Food_Prefab,Player
200055,햇살 열풍 볶음,입에 넣는 순간 뺨이 화끈해지는 매운 볶음. 태양의 열기와 들판의 향신료가 격렬한 맛의 폭풍을 만든다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SunburstSpicyStirFry_Icon,Food_Prefab,Player
200056,별빛 눈물 수프,신들이 흘린 눈물에서 영감을 받은 맑고 투명한 수프. 입에 닿는 순간 따뜻한 위로가 별빛처럼 스며든다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_StarlightTearSoup_Icon,Food_Prefab,Player
200057,불꽃 곡물 스테이크,"불꽃의 춤 속에서 구워진 곡물과 고기의 조화. 겉은 불향, 속은 고소함으로 전사들의 에너지원이 된다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_FlameGrainSteak_Icon,Food_Prefab,Player
200058,달조각 피자,은빛 야채와 고운 치즈가 올려진 달빛 한 조각. 어둠 속에서도 은은하게 빛나는 야식으로 인기가 높다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MoonSlicePizza_Icon,Food_Prefab,Player
200059,심야의 심장 구이,한밤중 숯불에서 구운 고기의 깊고 진한 맛. 달콤함과 짭짤함이 어우러져 야행자들의 단골 요리다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MidnightHeartGrill_Icon,Food_Prefab,Player
200060,하늘빛 피자,푸른 꽃잎과 공중 식물을 얹어 만든 정령계의 별미. 은은한 풍미가 마음을 띄우며 공중을 나는 듯한 기분을 선사한다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SkyglowPizza_Icon,Food_Prefab,Player
200061,광기의 심장 카레,먹는 순간 입 안이 폭발하듯 열기로 가득 찬다. 정신이 혼미해질 정도의 강한 자극은 용기 없는 자에겐 독이다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MadnessHeartCurry_Icon,Food_Prefab,Player
200062,뿌리 서리 찜,땅 깊은 곳의 서리를 견디고 자란 채소를 찐 요리. 냉기 속에서도 살아남은 강인함이 입안에서 퍼진다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_RootFrostSteamedDish_Icon,Food_Prefab,Player
200063,기본 냉기 스테이크,초보 모험가들이 처음으로 접하는 차가운 고기 요리. 단순하지만 깔끔하고 든든한 생존식이다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_BasicChillSteak_Icon,Food_Prefab,Player
200064,바람 평원 파이,평원의 바람을 품은 곡물 반죽을 얇게 펴 만든 파이. 시원하고 고요한 맛이 마음의 잡음을 지운다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WindyPlainsPie_Icon,Food_Prefab,Player
200065,서늘 뿌리 스튜,뿌리 식물 특유의 향이 입안을 감도는 은은한 스튜. 기묘하게 깔리는 향은 중독성 있다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_CoolRootStew_Icon,Food_Prefab,Player
200066,얼음 곡물 파이,"차갑게 굳은 겉껍질 속에 곡물의 고소함과 포만감이 응축된 파이. 혹한의 땅에서 생존을 위한 식량이자, 깨물수록 퍼지는 구수한 맛으로 마음까지 녹인다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_IcyGrainPie_Icon,Food_Prefab,Player
200067,붉은 노을 피자,"해 질 녘 대지를 붉게 물들인 하늘의 기운을 담아낸 피자. 진한 토마토 베이스 위에 들판의 채소와 육류가 조화를 이루며, 한 조각마다 따스한 여운이 남는다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_RedSunsetPizza_Icon,Food_Prefab,Player
200068,햇살 냉기 리조또,"뜨거운 햇살에서 자란 곡물과 냉기의 정수로 숙성된 재료가 어우러진 리조또. 한 입에 따뜻함과 시원함이 동시에 퍼지며, 모순의 아름다움을 체험할 수 있다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SolarChillRisotto_Icon,Food_Prefab,Player
200069,서풍 곡물 파이,"초원의 서쪽 바람을 따라온 곡물들로 만든 향기로운 파이. 겉은 바삭, 속은 부드럽고 따뜻하며, 입 안을 감싸는 고소한 풍미가 마치 푸른 들판을 걷는 듯한 기분을 선사한다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WesternWindGrainPie_Icon,Food_Prefab,Player
200070,대지 심장 수프,"대지의 심장에서 솟아오른 열기와 생명을 담아 끓여낸 묵직한 수프. 뿌리채소와 허브, 고기가 어우러져 마시면 온몸에 생명력이 퍼지는 듯한 충만함을 준다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_EarthheartSoup_Icon,Food_Prefab,Player
200071,태양 당근 찜,"한낮의 태양을 그대로 머금은 당근으로 만든 찜 요리. 달큼한 향과 부드러운 식감이 입 안을 맴돌며, 하루의 피로를 싹 씻어주는 에너지 음식으로 사랑받는다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SolarCarrotSteamedDish_Icon,Food_Prefab,Player
200072,햇살 정원 찜,"정원의 햇살 아래 자란 채소들이 조화를 이룬 찜 요리. 은은한 단맛과 아삭한 식감이 어우러져, 마치 평화로운 정원 한가운데 앉아 있는 듯한 포근함을 준다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GardenSunlightSteamedDish_Icon,Food_Prefab,Player
200073,은밀한 양파 볶음,"밭의 깊은 밤, 몰래 캐낸 양파로 만든 볶음 요리. 달큰하게 캐러멜라이즈된 맛 뒤엔 알 수 없는 기운이 감돌며, 몰래 먹을수록 기운이 솟아나는 미스터리 간식이다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ShadyOnionStirFry_Icon,Food_Prefab,Player
200074,은밀한 감자 조림,어둠 속에서 수확한 감자를 간장과 향신료에 은은히 졸여낸 보급식. 수수해 보이지만 정성 가득한 조리법 덕에 전사들 사이에선 '진짜 은밀한 힘'이라 불린다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ShadyPotatoBraisedDish_Icon,Food_Prefab,Player
200075,주황빛 달빛 카레,달이 가장 높이 떠오를 때 완성되는 주황빛의 신비한 카레. 향신료와 과채의 조화로 은은한 단맛과 얼얼한 매운맛이 입 안에서 흐르듯 이어진다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_OrangeMoonCurry_Icon,Food_Prefab,Player
200076,피의 계약 스튜,"용사와 마물이 생존을 위해 함께 나눈 전설의 스튜. 각기 다른 육류와 향신료가 어우러져, 화해와 결속의 상징이자 강인한 맛의 정점으로 평가된다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_BloodPactStew_Icon,Food_Prefab,Player
200077,황금빛 당근빵,"햇살 아래 자란 당근을 으깨 넣어 구운 포근한 빵. 부드럽고 단맛이 은은히 감돌며, 여정 전에 먹으면 행운이 깃든다는 믿음이 전해진다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GoldenCarrotBread_Icon,Food_Prefab,Player
200078,건강 계약 구이,"심신을 단련한 자에게만 허락되는 고기와 약초의 신비한 조합. 불 위에서 조심스레 구워낸 이 요리는 육체적 회복은 물론, 정신적 집중력까지 불러온다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_HealthyPactGrill_Icon,Food_Prefab,Player
200079,황금 옥수수 수프,"풍년의 기운이 응축된 황금빛 수프. 고소하면서도 달큰한 맛이 농부의 정성과 자연의 감사함을 전하며, 먹는 자에게 풍요와 여유를 선사한다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GoldenCornSoup_Icon,Food_Prefab,Player
200080,바람개비 퓨전 찜,"샤먼들이 의식을 치르며 바람을 불어넣은 특별한 찜 요리. 가볍고 부드러운 채소에 환상종의 고기를 더해, 바람처럼 스치듯 사라지는 향과 입안 가득 퍼지는 신비한 풍미를 자랑한다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_PinwheelFusionSteamedDish_Icon,Food_Prefab,Player
200081,평원의 전사 조림,"광활한 평원을 수호하던 드워프 전사들의 전통식. 질긴 고기와 향신료를 깊고 진하게 졸여내어, 전투 후 허기를 달래기 위한 진한 맛이 특징이다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_WarriorPlainsBraisedDish_Icon,Food_Prefab,Player
200082,풍요의 늪 파이,"고대의 풍요의 신에게 제물로 바쳤던 의식용 파이. 늪지의 귀한 과실과 진귀한 곤충 고기가 황금빛 반죽 속에 감춰져 있어, 한 입만으로도 신의 은총을 받는 듯한 포만감을 준다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SwampFeastPie_Icon,Food_Prefab,Player
200083,붉은 노을 볶음,"붉은 하늘이 드리워진 저녁에만 수확 가능한 재료들로 만든 볶음. 따스한 단맛과 은은한 매콤함이 조화를 이뤄, 하루의 피로를 따뜻하게 달래준다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SunsetGlowStirFry_Icon,Food_Prefab,Player
200084,옥수수 파삭빵,"기행을 떠나는 여행자들의 가방 속에 빠지지 않는 간식. 옥수수로 만든 반죽을 얇게 펴 바삭하게 구워내어, 씹을수록 고소함과 달큰함이 퍼지는 에너지 간식이다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_CrispyCornBread_Icon,Food_Prefab,Player
200085,황금 스테이크 리조또,"왕실의 축제나 연회에서만 볼 수 있었던 명품 요리. 육즙 가득한 고급 스테이크 조각과 금빛 곡물이 어우러져, 입 안에서 사치스러운 향연이 펼쳐진다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_GoldenSteakRisotto_Icon,Food_Prefab,Player
200086,눈물의 진실 수프,"전설에 따르면 이 수프를 마신 자는 거짓을 말하지 못한다고 한다. 담백한 육수와 맑은 채소의 조화로, 마치 정화 의식을 치르는 듯한 경험을 선사한다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_TearfulTruthSoup_Icon,Food_Prefab,Player
200087,눈물의 회복 스튜,"맑고 따뜻한 국물에 치유 효과가 있는 허브와 고기가 듬뿍 들어간 스튜. 한 입 머금는 순간, 눈물이 날 만큼 편안한 온기가 몸과 마음을 감싼다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_TearfulHealingStew_Icon,Food_Prefab,Player
200088,어스름의 향 파이,"늑대들이 숨죽이고 정령들이 속삭이는 어스름 시간에만 굽는다는 파이. 짙은 허브 향과 은근한 단맛이 어우러져, 숲의 비밀을 간직한 듯한 묘한 중독성을 지닌다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_DuskAromaPie_Icon,Food_Prefab,Player
