ID,Ingredient 1 ID,Ingredient 2 ID,Result ID,Recipe Name, Ingredient1,Ingredient2
300039,200004,200009,200067,붉은 노을 피자,서늘 뿌리,호박
300040,200004,200010,200068,햇살 냉기 리조또,서늘 뿌리,토마토
300041,200004,200011,200069,서풍 곡물 파이,서늘 뿌리,밀
300042,200004,200014,200070,대지 심장 수프,서늘 뿌리,몬스터 고기
300043,200005,200005,200071,태양 당근 찜,당근,당근
300044,200005,200006,200072,햇살 정원 찜,당근,옥수수
300045,200005,200007,200073,은밀한 양파 볶음,당근,양파
300046,200005,200008,200074,은밀한 감자 조림,당근,감자
300047,200005,200009,200075,주황빛 달빛 카레,당근,호박
300048,200005,200010,200076,피의 계약 스튜,당근,토마토
300049,200005,200011,200077,황금빛 당근빵,당근,밀
300050,200005,200014,200078,건강 계약 구이,당근,몬스터 고기
300051,200006,200006,200079,황금 옥수수 수프,옥수수,옥수수
300052,200006,200007,200080,바람개비 퓨전 찜,옥수수,양파
300053,200006,200008,200081,평원의 전사 조림,옥수수,감자
300054,200006,200009,200082,풍요의 늪 파이,옥수수,호박
300055,200006,200010,200083,붉은 노을 볶음,옥수수,토마토
300056,200006,200011,200084,옥수수 파삭빵,옥수수,밀
300057,200006,200014,200085,황금 스테이크 리조또,옥수수,몬스터 고기
300058,200007,200007,200086,눈물의 진실 수프,양파,양파
300059,200007,200008,200087,눈물의 회복 스튜,양파,감자
300060,200007,200009,200088,어스름의 향 파이,양파,호박
300061,200007,200010,200089,진실의 토마토 수프,양파,토마토
300062,200007,200011,200090,빛나는 양파빵,양파,밀
300063,200007,200014,200091,단단한 겹 파이,양파,몬스터 고기
300064,200008,200008,200092,대지의 감자 구이,감자,감자
300065,200008,200009,200093,뿌리와 열매의 찜,감자,호박
300066,200008,200010,200094,붉은 뿌리 스튜,감자,토마토
300067,200008,200011,200095,용맹한 기사의 빵,감자,밀
300068,200008,200014,200096,피 든든 수프,감자,몬스터 고기
300069,200009,200009,200097,쌍둥이 호박 파이,호박,호박
300070,200009,200010,200098,가을의 피자,호박,토마토
300071,200009,200011,200099,고요한 엘프의 빵,호박,밀
300072,200009,200014,200100,노을 달콤 볶음,호박,몬스터 고기
300073,200010,200010,200101,붉은 심장 리조또,토마토,토마토
300074,200010,200011,200102,토마토 파스타,토마토,밀
300075,200010,200014,200103,붉은 햇살 스테이크,토마토,몬스터 고기
300076,200011,200011,200104,천상의 밀떡,밀,밀
300077,200011,200014,200105,도우 피 카레,밀,몬스터 고기
300078,200014,200014,200106,스테이크 계약 스튜,몬스터 고기,몬스터 고기
300079,200001,200015,200107,슬라베리 잼,야생 베리,슬라임 수액
300080,200002,200016,200108,거미버섯 장조림,밤 버섯,거미 다리
300081,200003,200017,200109,달빛 촉수 샐러드,달빛 꽃,파수꾼의 촉수
300082,200004,200018,200110,쫀득 뿌리 구이,서늘 뿌리,미믹의 관자
300083,200005,200019,200111,당근 크랩스튜,당근,게딱지
300084,200006,200020,200112,전사의 옥수수 구이,옥수수,하루살이의 가슴살
300085,200007,200021,200113,눈물의 도마뱀 튀김,양파,도마뱀 다리
300086,200008,200022,200114,용기의 감자 전골,감자,냄새나는 고기
300087,200009,200023,200115,위험한 호박찜,호박,독버섯의 갓
300088,200010,200024,200116,붉은 지느러미 스튜,토마토,가오리 날개
300089,200011,200025,200117,불꼬리 파이,밀,샐러맨더의 꼬리
300090,200010,200026,200118,두 얼굴의 스튜,토마토,다리 달린 생선
300091,200027,200027,200119,사막불꼬치 샐러드,선인장 열매,샐러맨더의 꼬리
300092,200012,,200120,애매한 요리,썩은 작물 ,ALL
300093,200013,,200121,단단한 요리,강철 ,ALL
300094,200015,,200122,드래곤 스테이크,드래곤 고기 ,ALL
300095,600001,200010,600004,강화된 검,무기 ,토마토 
300096,600002,200010,600005,강화된 도끼,무기 ,토마토 
300097,600003,200010,600006,강화된 지팡이,무기 ,토마토 
