ID,Name,Description,ERecipeType,MaxStack,Eatable,HungerRestore,Ingredient1ID,Ingredient2ID,EffectCount,EffectType1,EffectValue1,Duration1,EffectType2,EffectValue2,Duration2,EffectType3,EffectValue3,Duration3,IconPath(Addressable Key)
25,진실의 토마토 수프,거짓을 꿰뚫는 마법의 음식,Buff,99,TRUE,25,양파,토마토,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
26,빛나는 양파빵,성직자들이 고행 중 먹던 신성한 빵,Buff,99,TRUE,25,양파,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
27,대지의 감자 구이,튼튼함을 상징하는 전사들의 주식,Buff,99,TRUE,25,감자,감자,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
28,뿌리와 열매의 찜,대지와 태양의 조화,Buff,99,TRUE,25,감자,호박,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
29,붉은 뿌리 스튜,언데드도 잠시 숨을 고르는 따뜻한 음식,Buff,99,TRUE,25,감자,토마토,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
30,용맹한 기사의 빵,방패처럼 단단한 식사,Buff,99,TRUE,25,감자,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
31,쌍둥이 호박 파이,축제에 빠질 수 없는 단맛 폭탄,Buff,99,TRUE,25,호박,호박,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
32,가을의 피자,호박 크러스트에 토마토 소스 듬뿍,Buff,99,TRUE,25,호박,토마토,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
33,고요한 엘프의 빵,엘프의 사색을 도와주는 빵,Buff,99,TRUE,25,호박,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
34,붉은 심장 리조또,전사의 피처럼 붉은 정열의 리조또,Buff,99,TRUE,25,토마토,토마토,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
35,토마토 파스타,맵고 진한 열정을 담은 파스타,Buff,99,TRUE,25,토마토,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
36,천상의 밀떡,신들이 즐기는 식감의 향연,Buff,99,TRUE,25,밀,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
37,애매한 요리,요리에 재능이 없으시군요,Buff,99,TRUE,5,썩은 작물,ALL,0,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
